tconst,rating,title,year,id
tt0392728,0,Roundhay Garden Scene,1888,8040
tt0000003,0,Pauvre Pierrot,1892,5433
tt0000014,0,Tables Turned on the Gardener,1895,5444
tt0132134,0,"Execution of Mary, Queen of Scots, The",1895,6200
tt0000091,0,"House of the Devil, The",1896,4982
tt0000131,0,Une nuit terrible,1896,5406
tt0223341,0,La fee aux choux,1896,5445
tt0000012,0,"Arrival of a Train, The",1896,6199
tt0224240,0,"Temptation of St. Anthony, The",1898,5411
tt0000211,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,5410
tt0135696,0,Four Heads Are Better Than One,1898,4978
tt0000230,3,Cinderella,1899,5914
tt0000246,0,A Turn of the Century Illusionist,1899,4994
tt0230746,0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,5072
tt0257654,0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,4345
tt0291476,0,Sherlock Holmes Baffled,1900,1594
tt0000272,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,4344
tt0227438,0,"Doctor and the Monkey, The",1900,5446
tt0000304,0,Grandma&#39;s Reading Glass,1900,4343
tt0000313,0,Let Me Dream Again,1900,5438
tt0000306,0,Hamlet ( Le Duel d&#39;Hamlet),1900,4346
tt0135453,0,"One-Man Band, The",1900,4993
tt0377995,0,Grandma Threading Her Needle,1900,5069
tt0000300,0,"Enchanted Drawing, The",1900,4271
tt0258104,0,Reve et realite,1901,5437
tt0000359,0,L&#39;homme a la tete en caoutchouc,1901,4995
tt0131934,0,Bluebeard,1901,5500
tt0000417,0,Le voyage dans la lune,1902,1252
tt0000413,0,Mephistopheles&#39; School of Magic,1902,5443
tt0367177,0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,5432
tt0229024,0,Gulliver&#39;s Travels,1902,5431
tt0223755,0,"Monster, The",1903,5064
tt0000439,0,"Great Train Robbery, The",1903,1319
tt0189498,0,"Enchanted Well, The",1903,5683
tt0000455,0,"Music Lover, The",1903,5063
tt0135180,0,"Infernal Boiling Pot, The",1903,5002
tt0000499,0,Le voyage a travers l&#39;impossible,1904,6135
tt0215664,0,"Cook in Trouble, The",1904,5224
tt0135179,0,"Living Playing Cards, The",1904,5404
tt0135631,0,"Untamable Whiskers, The",1904,5601
tt0135690,0,"Scheming Gambler&#39;s Paradise, The",1905,5003
tt0215575,0,"Black Imp, The",1905,5602
tt0000567,0,"400 Tricks of the Devil, The",1906,5684
tt1260944,0,"Consequence of Feminism, The",1906,7215
tt0000574,1,"Story of the Kelly Gang, The",1906,1349
tt0449172,0,A Funny Shave,1906,6206
tt0135122,0,"Hilarious Posters, The",1906,5603
tt0000554,0,Humorous Phases of Funny Faces,1906,5435
tt0216016,0,"Mysterious Retort, The",1906,5024
tt0215817,0,Good Glue Sticks,1907,5615
tt0215737,0,"Eclipse: Courtship of the Sun and Moon, The",1907,5223
tt1802750,0,Unusual Cooking,1908,6231
tt0001009,2,"Princess Nicotine; or, The Smoke Fairy",1909,4409
tt0127948,0,"Devilish Tenant, The",1909,5635
tt0277596,1,Le barometre de la fidelite,1909,6211
tt0486978,0,Mobilier fidele,1910,4983
tt0232821,3,Tilly the Tomboy Visits the Poor,1910,1464
tt1515725,0,A Trip to Mars,1910,5685
tt0002101,2,Cleopatra,1912,2003
tt0002281,0,"Invaders, The",1912,2005
tt0277865,0,Max and the Donkey,1912,5357
tt0003424,0,Suspense,1913,5915
tt0003512,0,"Voyage of the Bourrichon Family, The",1913,5364
tt0003973,2,A Florida Enchantment,1914,4457
tt0004972,2,"Birth of a Nation, The",1915,1258
tt0279914,3,Lady Windermere&#39;s Fan,1916,2014
tt0007361,3,Snow White,1916,7004
tt0006745,3,Gretchen the Greenhorn,1916,2008
