nconst,name,known_for_department,popularity,sex
nm0005877,William V. Skall,Camera,0.6,female
nm0000073,Shirley Temple,Acting,2.119,male
nm0000859,Lionel Barrymore,Acting,1.661,female
nm0892867,Evelyn Venable,Acting,2.372,male
nm0517099,John Lodge,Acting,1.7080000000000002,0
nm0124877,David Butler,Directing,2.049,female
nm0175902,William M. Conselman,Writing,1.4,female
nm0006203,Cyril J. Mockridge,Sound,1.4,female
nm0587926,Arthur C. Miller,Camera,1.4,female
nm0802512,Pyotr Zinovyev,Acting,0.6,0
nm0947279,Yelena Yegorova,Acting,0.6,0
nm0003540,Nikolai Cherkasov,Acting,1.426,female
nm0320559,Mikhail Gipsi,Acting,0.6,0
nm0575963,Aleksandr Medvedkin,Directing,0.6,0
nm0882532,Aleksei Utkin,Art,1.38,0
nm0474428,Viktor Kulakov,Acting,1.048,female
nm0849185,Adolph Tandler,Sound,0.6,0
nm0841797,Gloria Swanson,Acting,1.589,male
nm0126430,Walter Byron,Acting,0.7659999999999999,0
nm0654262,Seena Owen,Acting,1.4,male
nm0039276,Sylvia Ashton,Acting,1.094,male
nm0002233,Erich von Stroheim,Acting,1.608,female
nm0092915,Richard Boleslawski,Directing,0.652,female
nm0014703,Marian Ainslee,Writing,0.6,0
nm0322227,Benjamin Glazer,Writing,1.4,female
nm1892444,Ugo Derouard,Sound,0.6,0
nm0953123,Darryl F. Zanuck,Production,1.286,female
nm0000064,Edward G. Robinson,Acting,2.635,female
nm0001195,Douglas Fairbanks Jr.,Acting,2.105,female
nm0268225,Glenda Farrell,Acting,2.2640000000000002,male
nm0171873,William Collier Jr.,Acting,2.7439999999999998,female
nm0503777,Mervyn LeRoy,Directing,1.714,female
nm0122446,W.R. Burnett,Writing,1.429,0
nm0267020,Francis Edward Faragoh,Writing,1.4,female
nm0498133,Robert N. Lee,Writing,0.6,female
nm0520501,Robert Lord,Writing,1.62,female
nm0324473,Johann Wolfgang Goethe,Writing,1.38,0
nm0202405,Claude Dauphin,Acting,1.7080000000000002,female
nm0099681,Romain Bouquet,Acting,0.98,0
nm0411664,Sylvain Itkine,Acting,0.6,female
nm0488216,Léon Larive,Acting,0.6,0
nm0823089,Irene Starewicz,Writing,0.6,0
nm0823088,Wladyslaw Starewicz,Directing,0.6,female
nm0634113,Jean Nohain,Writing,0.6940000000000001,0
nm0635163,Antoinette Nordmann,Writing,0.6,0
nm0724858,Roger Richebé,Directing,1.3940000000000001,female
nm0729463,Enrique Rivero,Acting,0.6,female
nm0998525,Elizabeth Lee Miller,Acting,0.6,0
nm0142120,Pauline Carton,Acting,1.5319999999999998,male
nm0847851,Odette Talazac,Acting,0.98,male
nm0168413,Jean Cocteau,Writing,2.101,female
nm0005952,Georges Auric,Sound,0.838,female
nm0005838,Georges Périnal,Camera,0.6,female
nm0432482,Ray June,Camera,1.4,female
nm0172903,Ronald Colman,Acting,1.6159999999999999,female
nm0371040,Helen Hayes,Acting,1.156,male
nm0071992,Richard Bennett,Acting,1.7080000000000002,female
nm0030653,A.E. Anson,Acting,0.6,0
nm0000406,John Ford,Directing,2.0869999999999997,female
nm0507760,Sinclair Lewis,Writing,1.4,0
nm0397608,Sidney Howard,Writing,0.618,female
nm0326418,Samuel Goldwyn,Production,1.048,female
nm0000055,Alfred Newman,Sound,2.588,female
nm0721745,Harry Reynolds,Editing,0.0,0
nm0203836,Marion Davies,Acting,1.4,male
nm0285391,Ralph Forbes,Acting,1.052,female
nm0807580,C. Aubrey Smith,Acting,2.7310000000000003,female
nm0001537,Ray Milland,Acting,1.972,female
nm0502752,Robert Z. Leonard,Directing,1.579,female
nm0139321,Edward Childs Carpenter,Writing,0.6,0
nm0425615,Laurence E. Johnson,Writing,0.98,0
nm0547966,Frances Marion,Writing,1.4,male
nm0005784,Oliver T. Marsh,Camera,1.686,female
nm0045784,Irving Bacon,Acting,1.702,female
nm0007223,James Dunn,Acting,1.131,female
nm0251755,Sally Eilers,Acting,1.4,male
nm0326809,Minna Gombell,Acting,1.686,male
nm0042380,Frank Austin,Acting,1.62,female
nm0097648,Frank Borzage,Directing,1.78,female
nm0217568,Viña Delmar,Writing,1.5659999999999998,male
nm0549217,Brian Marlow,Writing,2.069,0
nm0005782,Chester A. Lyons,Camera,0.6,female
nm0480673,Carl Laemmle Jr.,Production,1.38,female
nm0619261,Conrad Nagel,Acting,1.22,female
nm0289253,Sidney Fox,Acting,1.7080000000000002,male
nm0000012,Bette Davis,Acting,4.131,male
nm0000007,Humphrey Bogart,Acting,2.915,female
nm0377126,Hobart Henley,Directing,0.652,female
nm0461348,Edwin H. Knopf,Production,1.011,female
nm0715723,Tom Reed,Writing,1.4,0
nm0775419,Raymond L. Schrock,Writing,1.4,female
nm0850483,Booth Tarkington,Writing,0.98,female
nm0629580,Dudley Nichols,Writing,1.4969999999999999,female
nm0645941,Warner Oland,Acting,2.2680000000000002,female
nm0000509,Bela Lugosi,Acting,1.4,female
nm0720885,Dorothy Revier,Acting,1.435,0
nm0532187,Hamilton MacFadden,Directing,1.052,female
nm0081788,Earl Derr Biggers,Writing,1.905,0
nm0822219,Hugh Stanislaus Stange,Writing,0.6,0
nm0175194,Barry Conners,Writing,1.4,0
nm0458934,Philip Klein,Writing,1.4,0
nm0206238,Ralph Dawson,Editing,1.008,female
nm0000010,James Cagney,Acting,1.976,female
nm0000951,Joan Blondell,Acting,1.34,male
nm0129894,Louis Calhern,Acting,1.6230000000000002,female
nm0290271,Noel Francis,Acting,1.216,male
nm0215877,Roy Del Ruth,Directing,0.741,female
nm0321891,Kubec Glasmon,Writing,1.4,female
nm0109148,John Bright,Writing,1.6230000000000002,female
nm0005735,Ernest Haller,Camera,1.1340000000000001,female
nm0005741,Sidney Hickox,Camera,1.4,female
nm0943969,Hugh Wynn,Editing,0.6,female
nm0000891,Wallace Beery,Acting,1.228,female
nm0178114,Jackie Cooper,Acting,2.272,female
nm0723658,Irene Rich,Acting,1.4,male
nm0040374,Roscoe Ates,Acting,1.646,female
nm0896542,King Vidor,Directing,1.7109999999999999,female
nm0875746,Wanda Tuchock,Writing,1.943,male
nm0549905,Don Marquis,Writing,0.6,0
nm0043138,Gordon Avil,Camera,0.6,female
nm0800302,Michel Simon,Acting,1.4,female
nm0546516,Janie Marèse,Acting,0.6,male
nm0280961,Georges Flamant,Acting,0.98,female
nm0719756,Jean Renoir,Directing,1.614,female
nm0478579,Georges de La Fouchardière,Writing,0.6,0
nm0610207,André Mouézy-Éon,Writing,0.6,0
nm0105886,Pierre Braunberger,Production,1.5319999999999998,female
nm0005676,Edward Cronjager,Camera,0.972,female
nm0228715,Richard Dix,Acting,1.4,female
nm0002050,Irene Dunne,Acting,1.4509999999999998,male
nm0852347,Estelle Taylor,Acting,1.4,0
nm0642042,Nance O'Neil,Acting,0.98,male
nm0749484,Wesley Ruggles,Directing,1.4,female
nm0272209,Edna Ferber,Writing,1.798,male
nm0261455,Howard Estabrook,Writing,1.7080000000000002,female
nm0765037,Louis Sarecky,Production,0.6,0
nm0495461,William LeBaron,Production,0.652,female
nm0000122,Charlie Chaplin,Acting,3.745,female
nm0156039,Virginia Cherrill,Acting,1.4,male
nm0616729,Harry Myers,Acting,1.052,female
nm0139714,Harry Carr,Writing,0.6,0
nm0188357,Harry Crocker,Acting,1.38,female
nm0689661,Gordon Pollock,Crew,0.6,female
nm0005906,Roland Totheroh,Camera,0.98,female
nm0317224,Wynne Gibson,Acting,1.265,male
nm0000011,Gary Cooper,Acting,2.089,female
nm0796662,Sylvia Sidney,Acting,1.943,male
nm0510134,Paul Lukas,Acting,1.7369999999999999,female
nm0101954,"William ""Stage"" Boyd",Acting,1.3880000000000001,female
nm0541149,Rouben Mamoulian,Directing,1.4,female
nm0358591,Dashiell Hammett,Writing,1.4,female
nm0545730,Max Marcin,Writing,1.09,0
nm0308177,Oliver H.P. Garrett,Writing,0.84,female
nm0005716,Lee Garmes,Camera,0.6,female
nm0001076,Joan Crawford,Acting,3.391,male
nm0249893,Cliff Edwards,Acting,1.23,female
nm0883199,Lester Vail,Acting,1.4,female
