tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0016029,The Little Colonel,1935.0,81.0,"Comedy,Family,Musical",7.1,1314.0,2.0,0.0,0.0,2.0,2.0,3.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0017961,Happiness,1935.0,95.0,"Comedy,Drama",7.5,897.0,1.0,0.0,0.0,4.0,0.0,0.0,0.2,0.0,0.0,5.0,0.2,0.8
tt0020298,Queen Kelly,1932.0,101.0,Drama,7.2,3013.0,3.0,0.0,0.0,1.0,3.0,0.0,0.75,0.0,0.0,7.0,0.42857142857142855,0.5714285714285714
tt0021079,Little Caesar,1931.0,79.0,"Action,Crime,Drama",7.3,11410.0,1.0,0.0,0.0,3.0,5.0,0.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0021309,The Story of the Fox,1937.0,63.0,"Adventure,Animation,Comedy",7.8,1105.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
tt0021331,The Blood of a Poet,1932.0,55.0,Fantasy,7.4,5673.0,3.0,0.0,0.0,1.0,1.0,2.0,0.75,0.0,0.0,7.0,0.42857142857142855,0.5714285714285714
tt0021622,Arrowsmith,1931.0,108.0,Drama,6.2,1398.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0021633,The Bachelor Father,1931.0,90.0,"Comedy,Drama,Romance",6.5,1035.0,1.0,1.0,0.0,3.0,1.0,1.0,0.25,0.5,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0021635,Bad Girl,1931.0,90.0,"Drama,Romance",6.5,1023.0,2.0,1.0,0.0,3.0,1.0,1.0,0.4,0.5,0.0,8.0,0.375,0.625
tt0021636,The Bad Sister,1931.0,68.0,Drama,6.3,913.0,2.0,0.0,0.0,2.0,5.0,0.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0021668,The Black Camel,1931.0,71.0,"Crime,Mystery,Thriller",6.8,1276.0,2.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666
tt0021673,Blonde Crazy,1931.0,79.0,"Comedy,Crime,Drama",7.1,1503.0,2.0,0.0,0.0,2.0,3.0,3.0,0.5,0.0,0.0,10.0,0.2,0.8
