,gender,name,id,known_for_department,popularity
nm0005877,2,William V. Skall,17668,Camera,0.6
nm0000073,1,Shirley Temple,95624,Acting,2.119
nm0000859,2,Lionel Barrymore,17753,Acting,1.661
nm0892867,1,Evelyn Venable,117073,Acting,2.372
nm0517099,0,John Lodge,133470,Acting,1.708
nm0124877,2,David Butler,76381,Directing,2.049
nm0175902,2,William M. Conselman,1157603,Writing,1.4
nm0006203,2,Cyril J. Mockridge,14647,Sound,1.4
nm0587926,2,Arthur C. Miller,14648,Camera,1.4
nm0802512,0,Pyotr Zinovyev,999621,Acting,0.6
nm0947279,0,Yelena Yegorova,999622,Acting,0.6
nm0003540,2,Nikolai Cherkasov,67502,Acting,1.426
nm0320559,0,Mikhail Gipsi,999623,Acting,0.6
nm0575963,0,Aleksandr Medvedkin,999620,Directing,0.6
nm0882532,0,Aleksei Utkin,1540580,Art,1.38
nm0474428,2,Viktor Kulakov,1471222,Acting,1.048
nm0849185,0,Adolph Tandler,1534110,Sound,0.6
nm0841797,1,Gloria Swanson,8629,Acting,1.589
nm0126430,0,Walter Byron,1011053,Acting,0.766
nm0654262,1,Seena Owen,29960,Acting,1.4
nm0039276,1,Sylvia Ashton,35505,Acting,1.094
nm0002233,2,Erich von Stroheim,8630,Acting,1.608
nm0092915,2,Richard Boleslawski,145968,Directing,0.652
nm0014703,0,Marian Ainslee,42061,Writing,0.6
nm0322227,2,Benjamin Glazer,89045,Writing,1.4
nm1892444,0,Ugo Derouard,1448280,Sound,0.6
nm0953123,2,Darryl F. Zanuck,8502,Production,1.286
nm0000064,2,Edward G. Robinson,13566,Acting,2.635
nm0001195,2,Douglas Fairbanks Jr.,51762,Acting,2.105
nm0268225,1,Glenda Farrell,29315,Acting,2.264
nm0171873,2,William Collier Jr.,128159,Acting,2.744
nm0503777,2,Mervyn LeRoy,9054,Directing,1.714
nm0122446,0,W.R. Burnett,80728,Writing,1.429
nm0267020,2,Francis Edward Faragoh,29806,Writing,1.4
nm0498133,2,Robert N. Lee,100583,Writing,0.6
nm0520501,2,Robert Lord,74879,Writing,1.62
nm0324473,0,Johann Wolfgang Goethe,66797,Writing,1.38
nm0202405,2,Claude Dauphin,20113,Acting,1.708
nm0099681,0,Romain Bouquet,1083851,Acting,0.98
